Job ID,Job Title (Primary),Company Name,Industry,Experience Level,Job Type,Is Remote,Currency,Salary Min,Salary Max,Date Posted,Location City,Location State,Location Country,Job URL,Job Description,Job Source
go-yjUXqDTfLxKTPDEJAAAAAA==,"Field Service Automation Engineer (Washington, PA)",Abbott Laboratories,Not Provided,Not Provided,CONTRACT,True,,,,2025-03-08,Washington,PA,Unknown,https://www.jobs.abbott/us/en/job/31112010/Field-Service-Automation-Engineer-Washington-PA?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare with leading businesses and products in diagnostics medical devices nutritionals and branded generic medicines. Our 114000 colleagues serve people in more than 160 countries.

About Abbott

Abbott is a global healthcare leader creating breakthrough science to improve people’s health. We’re always looking towards the future",google
go-owlyJzOxgqM7LgNtAAAAAA==,Network Automation Engineer II,Virginia Tech,Not Provided,Not Provided,Not Provided,True,,,,2025-03-08,Blacksburg,SC,Unknown,https://www.recruit.net/job/network-automation-engineer-jobs/B55CD4274F30DF2F?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Job Description

The Network Automation Engineer contributes to the installation configuration administration and support of Virginia Tech residential and campus networks and associated services. Virginia Tech networks utilize multiple vendor routing switching and wireless technologies. The campus core and border consist of a sophisticated architecture that serves as the high-speed backbone for network services that meet the operational academic social and research needs of over 33000 ",google
in-2c59dc12465dd1ae,Native Mobile Test Automation Engineer,Virtualan Software,Not Provided,Not Provided,FULL_TIME,True,USD,85000.0,90000.0,2025-03-10,Chicago,IL,US,https://www.indeed.com/viewjob?jk=2c59dc12465dd1ae,"**Job Title:** Native Mobile Test Automation Engineer

**Job type:** Full time

**Location:** Remote

**Job description:**

We are looking for a skilled \*\*Native Mobile Test Automation Engineer\*\* to help us drive automation for \*\*iOS and Android applications\*\*. This role involves building robust test frameworks integrating with CI/CD and ensuring top\-notch performance and functionality.

**Requirements:**

✅ \*\*Experience\*\* in native mobile test automation (iOS \& Android)  
✅ \*\*Ex",indeed
in-90808c40b895dcd3,Senior QA Automation Engineer,"Loop Software & Testing Services, Inc",Not Provided,Not Provided,FULL_TIME,True,USD,75000.0,90000.0,2025-03-10,Remote,Unknown,US,https://www.indeed.com/viewjob?jk=90808c40b895dcd3,"**Loop Software Testing and Services** is a dynamic and fast\-paced SaaS company dedicated to solving the challenges that other SaaS companies face when it comes to delivering high\-quality diverse and thorough testing solutions. We believe in hard work teamwork and enjoying the work you do.

**Job Description**

We are seeking a motivated **QA Engineer** to join our team. You are a critical thinker who thrives in a fast\-paced collaborative environment. In this role you will be responsible for ",indeed
in-42d03fc229a4cca4,Automation Tester,GFT TECHNOLOGIES,Not Provided,Not Provided,CONTRACT,False,USD,,,2025-03-10,New York,NY,US,https://www.indeed.com/viewjob?jk=42d03fc229a4cca4,"Automation Tester \- CONTRACT

  


**GFT Technologies – Proud GPTW 2024!**


New York New York United States

  


**Location: Plano\-TX \- Onsite**


**Job Type: Contract**

**Contract Duration: 6 months**


**Daily Rate: $900**

  


GFT is looking for a **Automation Tester** to design develop and execute automated test cases that ensure the functionality and performance of our software solutions. The ideal candidate will have experience in test automation frameworks programming languages and",indeed
in-4b9b0fb495bc6d03,Automation Engineer,Baxter & Woodman,Not Provided,Not Provided,FULL_TIME,True,USD,97000.0,120000.0,2025-03-10,Houston,TX,US,https://www.indeed.com/viewjob?jk=4b9b0fb495bc6d03,"**Concentric Integration** a subsidiary of Baxter \& Woodman Inc.


**Your future position:** Automation Engineer


**Location:** Houston TX


**Why you should join our team! Why Concentric Integration?**


At Concentric Integration both seasoned professionals and recent graduates find more than a job; they uncover a long\-lasting fulfilling career with a distinguished leader in technology and innovation. Our work environment is extraordinary and being honored as one of the *2024 Zweig Best Firm",indeed
in-860c02836f825606,Automation Engineer,Baxter & Woodman,Not Provided,Not Provided,FULL_TIME,True,USD,95000.0,115000.0,2025-03-10,Crystal Lake,IL,US,https://www.indeed.com/viewjob?jk=860c02836f825606,"**Concentric Integration** a subsidiary of Baxter \& Woodman Inc.


**Your future position:** Automation Engineer


**Choose your location:** Crystal Lake Bannockburn or Chicago IL


**Why you should join our team! Why Concentric Integration?**


At Concentric Integration both seasoned professionals and recent graduates find more than a job; they uncover a long\-lasting fulfilling career with a distinguished leader in technology and innovation. Our work environment is extraordinary and being hon",indeed
in-aeee0d15b6c7cd28,Electrical and Automation Design Engineer,Baxter & Woodman,Not Provided,Not Provided,FULL_TIME,True,USD,72000.0,90000.0,2025-03-10,Katy,TX,US,https://www.indeed.com/viewjob?jk=aeee0d15b6c7cd28,"**Concentric Integration** a subsidiary of Baxter \& Woodman Inc.


**Your future position:** Electrical and Automation Design Engineer


**Choose your location:** Katy or Houston TX


**Why you should join our team! Why Concentric Integration?**


At Concentric Integration both seasoned professionals and recent graduates find more than a job; they uncover a long\-lasting fulfilling career with a distinguished leader in technology and innovation. Our work environment is extraordinary and being h",indeed
in-e3bca1358d2fe353,Electrical and Automation Design Engineering Intern,Baxter & Woodman,Not Provided,Not Provided,INTERNSHIP,True,USD,41893.0,54140.0,2025-03-10,Crystal Lake,IL,US,https://www.indeed.com/viewjob?jk=e3bca1358d2fe353,"**Concentric Integration** a subsidiary of Baxter \& Woodman Inc.


**Your future position:** Electrical and Automation Design Engineering Intern


**Location:** Crystal Lake IL


**Why you should join our team! Why Concentric Integration?**


At Concentric Integration both seasoned professionals and recent graduates find more than a job; they uncover a long\-lasting fulfilling career with a distinguished leader in technology and innovation. Our work environment is extraordinary and being honore",indeed
in-31d52b3347247ec5,Electrical and Automation Design Engineer,Baxter & Woodman,Not Provided,Not Provided,FULL_TIME,True,USD,72000.0,90000.0,2025-03-10,Houston,TX,US,https://www.indeed.com/viewjob?jk=31d52b3347247ec5,"**Concentric Integration** a subsidiary of Baxter \& Woodman Inc.


**Your future position:** Electrical and Automation Design Engineer


**Choose your location:** Katy or Houston TX


**Why you should join our team! Why Concentric Integration?**


At Concentric Integration both seasoned professionals and recent graduates find more than a job; they uncover a long\-lasting fulfilling career with a distinguished leader in technology and innovation. Our work environment is extraordinary and being h",indeed
in-6dae5830a8079ae9,Electrical and Automation Design Engineering Intern,Baxter & Woodman,Not Provided,Not Provided,INTERNSHIP,True,USD,42375.0,53298.0,2025-03-10,Chicago,IL,US,https://www.indeed.com/viewjob?jk=6dae5830a8079ae9,"**Concentric Integration** a subsidiary of Baxter \& Woodman Inc.


**Your future position:** Electrical and Automation Design Engineering Intern


**Location:** Chicago IL


**Why you should join our team! Why Concentric Integration?**


At Concentric Integration both seasoned professionals and recent graduates find more than a job; they uncover a long\-lasting fulfilling career with a distinguished leader in technology and innovation. Our work environment is extraordinary and being honored as ",indeed
in-1186baf80622e183,Enrollment Specialist/Office Manager (CRM and Childplus Experience),Beanstalk Academy,Education And Schools,Not Provided,FULL_TIME,False,USD,22.0,23.0,2025-03-10,Brooklyn,NY,US,https://www.indeed.com/viewjob?jk=1186baf80622e183,"Job Description



Reports to: Building Principal



The Enrollment Specialist is charged with recruiting selecting and enrolling eligible families within their



center\-based location. The enrollment specialist also creates provides and coordinates services and activities



with families and communities that foster strength healthy living and overall well\-being. The Enrollment



Specialist is responsible for promoting the vision for quality early childhood services that anchor the



organ",indeed
in-b21b0cecae1a3882,Marketing Automation & CRM Manager,Core Education,Not Provided,Not Provided,FULL_TIME,True,USD,82317.0,112571.0,2025-03-10,Remote,Unknown,US,https://www.indeed.com/viewjob?jk=b21b0cecae1a3882,"**About Core Education**

  

Core Education is a dynamic organization dedicated to transforming the business model of higher education through innovative programs and partnerships. We work collaboratively with colleges and universities to enhance learning experiences promote student success and drive positive outcomes. Our team partners with institutional leaders to improve revenue growth optimize technology and operations and implement data\-driven enrollment strategies that drive sustainable ",indeed
go-TgVzaqAO-vrkSKNBAAAAAA==,Software Implementation Specialist - Configuration Expert,CipherStaff,Not Provided,Not Provided,Not Provided,True,,,,2025-03-09,Arlington,VA,Unknown,https://us.bebee.com/job/26ca19080ce21463bd9d34cba4d4d0b0?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"Company Overview:
CipherStaff is a leading provider of technology solutions dedicated to delivering innovative and effective software implementation services.

Job Description:
We are seeking a highly skilled Senior Software Implementation Consultant to join our team. As a key member of our implementation team you will be responsible for configuring and testing our software application to meet customer requirements organizing and tracking work using project management software communicating ",google
go-jtX6Zt43fAQTp3xeAAAAAA==,IAM Implementation Specialist,Provision IAM,Not Provided,Not Provided,Not Provided,True,,,,2025-03-09,Cumberland,MD,Unknown,https://us.bebee.com/job/e2bc1ffc7ec0705730ca0a1fb73d5f98?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"About Provision IAM

Provision IAM is a leading provider of SaaS-based Identity and Access Management (IAM) solutions specializing in financial institutions and regulated industries. With over 28 years of experience we empower organizations to optimize digital operations and manage secure identity access. Our innovative client-focused approach combines technical expertise with creative problem-solving.

We are seeking a Senior Implementation Specialist to join our fully remote team. If you en",google
go-tK2vK8wvaDMl9J2cAAAAAA==,Field Implementation Specialist,Optomi,Not Provided,Not Provided,Not Provided,True,,,,2025-03-08,Florence,SC,Unknown,https://us.bebee.com/job/977e8512d298d7fc3414a91fa537e678?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"• *Key Responsibilities:**

Install configure and maintain network hardware including switches routers and microwave radios in field environments.

Troubleshoot and repair telecom infrastructure components demonstrating a strong understanding of data networks fiber optics wireless communication and microwave technologies.

Work autonomously on remote sites such as substations to perform equipment upgrades network expansions and system troubleshooting.

Collaborate with the team to ",google
in-a7b0c438f06c948a,Prevailing Wage Implementation Specialist,Public Works Consultant,Not Provided,Not Provided,FULL_TIME,True,USD,,,2025-03-10,Remote,Unknown,US,https://www.indeed.com/viewjob?jk=a7b0c438f06c948a,"Implementation Specialist

Overview

The role of an Implementation Specialist is pivotal in the success of onboarding new clients. An Implementation Specialist serves as the initial primary point of contact between Public Works Consultant and new clients. The Implementation Specialist is responsible for ensuring that new clients are a “good fit” by thoroughly vetting and training prior to being assigned a dedicated CRM.Responsibilities

* Collaborate with internal teams to gather necessary infor",indeed
in-0c0f482b1d74e8e7,Automation Developer Intern (30-35 hrs/week),Camden National Bank,Banks And Financial Services,Not Provided,FULL_TIME,True,USD,39659.0,50139.0,2025-03-10,Portland,ME,US,https://www.indeed.com/viewjob?jk=0c0f482b1d74e8e7,"Live here. Play here. Bank here. *Work here.*
If you’re looking to build your career at a forward\-thinking organization with deep community roots and a vision for growth success and giving back you’ve come to the right place.
Get to know us:* We’re your local community bank—and have been since 1875—that is committed to providing excellent customer service and giving back to our communities.
* We foster a collaborative inclusive work environment as part of a close\-knit team where your voice is ",indeed
in-2c59dc12465dd1ae,Native Mobile Test Automation Engineer,Virtualan Software,Not Provided,Not Provided,FULL_TIME,True,USD,85000.0,90000.0,2025-03-10,Chicago,IL,US,https://www.indeed.com/viewjob?jk=2c59dc12465dd1ae,"**Job Title:** Native Mobile Test Automation Engineer

**Job type:** Full time

**Location:** Remote

**Job description:**

We are looking for a skilled \*\*Native Mobile Test Automation Engineer\*\* to help us drive automation for \*\*iOS and Android applications\*\*. This role involves building robust test frameworks integrating with CI/CD and ensuring top\-notch performance and functionality.

**Requirements:**

✅ \*\*Experience\*\* in native mobile test automation (iOS \& Android)  
✅ \*\*Ex",indeed
in-90808c40b895dcd3,Senior QA Automation Engineer,"Loop Software & Testing Services, Inc",Not Provided,Not Provided,FULL_TIME,True,USD,75000.0,90000.0,2025-03-10,Remote,Unknown,US,https://www.indeed.com/viewjob?jk=90808c40b895dcd3,"**Loop Software Testing and Services** is a dynamic and fast\-paced SaaS company dedicated to solving the challenges that other SaaS companies face when it comes to delivering high\-quality diverse and thorough testing solutions. We believe in hard work teamwork and enjoying the work you do.

**Job Description**

We are seeking a motivated **QA Engineer** to join our team. You are a critical thinker who thrives in a fast\-paced collaborative environment. In this role you will be responsible for ",indeed
li-4108568553,CRM Project Manager,Chloé,Not Provided,Not Provided,Not Provided,,,,,2025-03-08,New York,NY,Country.WORLDWIDE,https://www.linkedin.com/jobs/view/4108568553,No description available,linkedin
li-4133565294,"Assistant Manager, Marketing CRM",Revlon,Not Provided,Not Provided,Not Provided,,,,,2025-03-08,New York,NY,Country.WORLDWIDE,https://www.linkedin.com/jobs/view/4133565294,No description available,linkedin
in-a7b0c438f06c948a,Prevailing Wage Implementation Specialist,Public Works Consultant,Not Provided,Not Provided,FULL_TIME,True,USD,,,2025-03-10,Remote,Unknown,US,https://www.indeed.com/viewjob?jk=a7b0c438f06c948a,"Implementation Specialist

Overview

The role of an Implementation Specialist is pivotal in the success of onboarding new clients. An Implementation Specialist serves as the initial primary point of contact between Public Works Consultant and new clients. The Implementation Specialist is responsible for ensuring that new clients are a “good fit” by thoroughly vetting and training prior to being assigned a dedicated CRM.Responsibilities

* Collaborate with internal teams to gather necessary infor",indeed
